category,Median Home Price (NSA),CPI-Adjusted Price
Thu Jan 15 1953,18080.26,214559.67
Sun Feb 15 1953,18080.26,215369.33
Sun Mar 15 1953,18080.26,214559.67
Wed Apr 15 1953,18122.25,215057.97
Fri May 15 1953,18143.25,214500.78
Mon Jun 15 1953,18143.25,213700.41
Wed Jul 15 1953,18185.25,214195.1
Sat Aug 15 1953,18206.25,213645.27
Tue Sep 15 1953,18227.25,213891.7
Thu Oct 15 1953,18227.25,213099.51
Sun Nov 15 1953,18206.25,213645.27
Tue Dec 15 1953,18206.25,213645.27
Fri Jan 15 1954,18206.25,213645.27
Mon Feb 15 1954,18227.25,213891.7
Mon Mar 15 1954,18227.25,213891.7
Thu Apr 15 1954,18206.25,214442.45
Sat May 15 1954,18206.25,213645.27
Tue Jun 15 1954,18227.25,213891.7
Thu Jul 15 1954,18290.25,214630.98
Sun Aug 15 1954,18332.24,215123.73
Wed Sep 15 1954,18374.24,216421.12
Fri Oct 15 1954,18353.24,216173.77
Mon Nov 15 1954,18353.24,216173.77
Wed Dec 15 1954,18374.24,217231.69
Sat Jan 15 1955,18395.24,217479.96
Tue Feb 15 1955,18332.24,216735.14
Tue Mar 15 1955,18290.25,216238.71
Fri Apr 15 1955,18185.25,214997.33
Sun May 15 1955,18185.25,214997.33
Wed Jun 15 1955,18269.25,215990.43
Fri Jul 15 1955,18332.24,215926.43
Mon Aug 15 1955,18437.24,217163.17
Thu Sep 15 1955,18479.24,216848.73
Sat Oct 15 1955,18458.24,216602.3
Tue Nov 15 1955,18416.24,216109.44
Thu Dec 15 1955,18374.24,216421.12
Sun Jan 15 1956,18332.24,215926.43
Wed Feb 15 1956,18269.25,215184.5
Thu Mar 15 1956,18206.25,214442.45
Sun Apr 15 1956,18122.25,212659.55
Tue May 15 1956,18143.25,212117.44
Fri Jun 15 1956,18332.24,212751.04
Sun Jul 15 1956,18479.24,212891.64
Wed Aug 15 1956,18605.23,215128.25
Sat Sep 15 1956,18584.23,214101.18
Mon Oct 15 1956,18563.24,213081.69
Thu Nov 15 1956,18521.24,212599.59
Sat Dec 15 1956,18542.24,212069.48
Tue Jan 15 1957,18605.23,212789.9
Fri Feb 15 1957,18773.23,213936.2
Fri Mar 15 1957,18773.23,213166.65
Mon Apr 15 1957,18899.22,213828.08
Wed May 15 1957,18962.22,213774.65
Sat Jun 15 1957,18899.22,212306.17
Mon Jul 15 1957,18899.22,210805.77
Thu Aug 15 1957,18899.22,210805.77
Sun Sep 15 1957,18962.22,211508.49
Tue Oct 15 1957,19067.21,212679.57
Fri Nov 15 1957,19067.21,211930.7
Sun Dec 15 1957,19046.22,211697.39
Wed Jan 15 1958,19067.21,210448.66
Sat Feb 15 1958,19067.21,210448.66
Sat Mar 15 1958,19235.21,210828.59
Tue Apr 15 1958,19277.21,210557.83
Thu May 15 1958,19319.2,211016.47
Sun Jun 15 1958,19214.21,209869.7
Tue Jul 15 1958,19214.21,209146.01
Fri Aug 15 1958,19193.21,209640.33
Mon Sep 15 1958,19130.21,208952.2
Wed Oct 15 1958,19109.21,208722.83
Sat Nov 15 1958,19151.21,208460.26
Mon Dec 15 1958,19172.21,209410.95
Thu Jan 15 1959,19130.21,208231.68
Sun Feb 15 1959,19109.21,208722.83
Sun Mar 15 1959,19109.21,208722.83
Wed Apr 15 1959,19109.21,208003.09
Fri May 15 1959,19193.21,208917.43
Mon Jun 15 1959,19193.21,208199.5
Wed Jul 15 1959,19130.21,206805.43
Sat Aug 15 1959,19109.21,206578.41
Tue Sep 15 1959,19151.21,206325.86
Thu Oct 15 1959,19256.21,206751.44
Sun Nov 15 1959,19277.21,206976.91
Tue Dec 15 1959,19193.21,206075.02
Fri Jan 15 1960,19256.21,207457.07
Mon Feb 15 1960,19256.21,206751.44
Tue Mar 15 1960,19256.21,206751.44
Fri Apr 15 1960,19256.21,206050.59
Sun May 15 1960,19214.21,205601.17
Wed Jun 15 1960,19172.21,204458.67
Fri Jul 15 1960,19172.21,204458.67
Mon Aug 15 1960,19256.21,205354.47
Thu Sep 15 1960,19340.2,206250.17
Sat Oct 15 1960,19403.2,205533.28
Tue Nov 15 1960,19340.2,204865.94
Thu Dec 15 1960,19340.2,204865.94
Sun Jan 15 1961,19340.2,204865.94
Wed Feb 15 1961,19298.2,204421.04
Wed Mar 15 1961,19340.2,204865.94
Sat Apr 15 1961,19256.21,203976.25
Mon May 15 1961,19319.2,204643.49
Thu Jun 15 1961,19298.2,204421.04
Sat Jul 15 1961,19361.2,203721.13
Tue Aug 15 1961,19382.2,204624.17
Fri Sep 15 1961,19382.2,203942.09
Sun Oct 15 1961,19382.2,203942.09
Wed Nov 15 1961,19487.2,205046.92
Fri Dec 15 1961,19529.2,205488.85
Mon Jan 15 1962,19550.19,205709.71
Thu Feb 15 1962,19508.2,204585.93
Thu Mar 15 1962,19508.2,204585.93
Sun Apr 15 1962,19508.2,203908.49
Tue May 15 1962,19613.19,205005.89
Fri Jun 15 1962,19634.19,205225.4
Sun Jul 15 1962,19634.19,204548.08
Wed Aug 15 1962,19634.19,204548.08
Sat Sep 15 1962,19613.19,203657.17
Mon Oct 15 1962,19571.19,203221.06
Thu Nov 15 1962,19592.19,203439.11
Sat Dec 15 1962,19592.19,203439.11
Tue Jan 15 1963,19613.19,203657.17
Fri Feb 15 1963,19613.19,203657.17
Fri Mar 15 1963,19718.19,204076.16
Mon Apr 15 1963,19802.18,204945.42
Wed May 15 1963,19760.19,204510.84
Sat Jun 15 1963,19760.19,203842.5
Mon Jul 15 1963,19802.18,203610.27
Thu Aug 15 1963,19802.18,203610.27
Sun Sep 15 1963,19802.18,203610.27
Tue Oct 15 1963,19802.18,202949.2
Fri Nov 15 1963,19928.18,204240.55
Sun Dec 15 1963,20012.18,204437.7
Wed Jan 15 1964,20012.18,204437.7
Sat Feb 15 1964,20075.17,205081.18
Sun Mar 15 1964,20075.17,205081.18
Wed Apr 15 1964,20012.18,204437.7
Fri May 15 1964,19928.18,203579.58
Mon Jun 15 1964,19991.18,203564.38
Wed Jul 15 1964,20033.17,203336.03
Sat Aug 15 1964,20096.17,204633.46
Tue Sep 15 1964,20159.17,204614.93
Thu Oct 15 1964,20201.17,205041.23
Sun Nov 15 1964,20264.17,205021.44
Tue Dec 15 1964,20264.17,205021.44
Fri Jan 15 1965,20390.16,206296.14
Mon Feb 15 1965,20390.16,206296.14
Mon Mar 15 1965,20327.16,205001.68
Thu Apr 15 1965,20285.16,203926.58
Sat May 15 1965,20264.17,203715.57
Tue Jun 15 1965,20264.17,202426.23
Thu Jul 15 1965,20306.16,202845.69
Sun Aug 15 1965,20306.16,202845.69
Wed Sep 15 1965,20306.16,202845.69
Fri Oct 15 1965,20432.16,203460.48
Mon Nov 15 1965,20537.15,204505.96
Wed Dec 15 1965,20600.15,204488.23
Sat Jan 15 1966,20663.15,205113.6
Tue Feb 15 1966,20621.15,203417.33
Tue Mar 15 1966,20621.15,202783.64
Fri Apr 15 1966,20642.15,201733.24
Sun May 15 1966,20684.15,202143.7
Wed Jun 15 1966,20726.15,201928.99
Fri Jul 15 1966,20747.15,201511.64
Mon Aug 15 1966,20684.15,199670.99
Thu Sep 15 1966,20684.15,199670.99
Sat Oct 15 1966,20768.14,199263.04
Tue Nov 15 1966,20768.14,199263.04
Thu Dec 15 1966,20852.14,200068.99
Sun Jan 15 1967,20852.14,200068.99
Wed Feb 15 1967,20852.14,200068.99
Wed Mar 15 1967,20705.15,198056.68
Sat Apr 15 1967,20789.14,198259.31
Mon May 15 1967,20915.14,198860.14
Thu Jun 15 1967,20957.14,198661.1
Sat Jul 15 1967,20957.14,198066.31
Tue Aug 15 1967,21083.13,198662.24
Fri Sep 15 1967,21083.13,198070.99
Sun Oct 15 1967,21167.13,198270.06
Wed Nov 15 1967,21230.13,198271.83
Fri Dec 15 1967,21335.12,198664.58
Mon Jan 15 1968,21314.12,197305
Thu Feb 15 1968,21419.12,197697.23
Fri Mar 15 1968,21377.12,196734.32
Mon Apr 15 1968,21377.12,196162.42
Wed May 15 1968,21314.12,195017.4
Sat Jun 15 1968,21482.11,195421.58
Mon Jul 15 1968,21566.11,195061.45
Thu Aug 15 1968,21629.11,195072.33
Sun Sep 15 1968,21629.11,194516.56
Tue Oct 15 1968,21776.1,194728.92
Fri Nov 15 1968,22028.09,196425.85
Sun Dec 15 1968,22217.08,197553.02
Wed Jan 15 1969,22322.08,197929.13
Sat Feb 15 1969,22427.08,197749.21
Sat Mar 15 1969,22616.07,197758.42
Tue Apr 15 1969,22637.07,196851.46
Thu May 15 1969,22742.06,197221.14
Sun Jun 15 1969,22805.06,196686.79
Tue Jul 15 1969,23015.05,197419.1
Fri Aug 15 1969,23162.05,197606.09
Mon Sep 15 1969,23330.04,198502.8
Wed Oct 15 1969,23519.03,199037.83
Sat Nov 15 1969,23624.03,198860.15
Mon Dec 15 1969,23771.02,199035.95
Thu Jan 15 1970,24002.01,200438.37
Sun Feb 15 1970,24170,200778.92
Sun Mar 15 1970,24296,200768.91
Wed Apr 15 1970,24400.99,200065.3
Fri May 15 1970,24589.99,201092.61
Mon Jun 15 1970,24757.98,201422.76
Wed Jul 15 1970,24820.98,200899.74
Sat Aug 15 1970,25051.97,202769.36
Tue Sep 15 1970,25303.96,203764.01
Thu Oct 15 1970,25429.95,203739.08
Sun Nov 15 1970,25576.95,203881.88
Tue Dec 15 1970,25723.94,204023.16
Fri Jan 15 1971,25786.94,204522.83
Mon Feb 15 1971,25723.94,203511.82
Mon Mar 15 1971,25723.94,203003.04
Thu Apr 15 1971,25807.94,203158.04
Sat May 15 1971,25996.93,203630.15
Tue Jun 15 1971,26269.92,204247.98
Thu Jul 15 1971,26311.92,204071.89
Sun Aug 15 1971,26395.91,204221.53
Wed Sep 15 1971,26458.91,204708.96
Fri Oct 15 1971,26542.91,204856.75
Mon Nov 15 1971,26752.9,206477.44
Wed Dec 15 1971,26815.9,205956.55
Sat Jan 15 1972,26899.89,206601.63
Tue Feb 15 1972,26962.89,206082.66
Wed Mar 15 1972,26941.89,205424.75
Sat Apr 15 1972,26983.89,205249.22
Mon May 15 1972,27067.88,205393.16
Thu Jun 15 1972,27235.88,206172.35
Sat Jul 15 1972,27508.87,207244.87
Tue Aug 15 1972,27613.86,207540.51
Fri Sep 15 1972,27592.86,206890.08
Sun Oct 15 1972,27571.86,205755.17
Wed Nov 15 1972,27592.86,205426.24
Fri Dec 15 1972,27613.86,205098.86
Mon Jan 15 1973,27550.86,204150.58
Thu Feb 15 1973,27550.86,202722.95
Thu Mar 15 1973,27571.86,201003.32
Sun Apr 15 1973,27571.86,199620.27
Tue May 15 1973,27634.86,198709.12
Fri Jun 15 1973,27697.86,197810.35
Sun Jul 15 1973,27676.86,197214.18
Wed Aug 15 1973,27928.85,195479.66
Sat Sep 15 1973,28033.84,195780.4
Mon Oct 15 1973,28243.84,195516.74
Thu Nov 15 1973,28369.83,195105.32
Sat Dec 15 1973,28558.82,195129.68
Tue Jan 15 1974,28789.81,195019.45
Fri Feb 15 1974,29020.8,194085.21
Fri Mar 15 1974,29335.79,193729.14
Mon Apr 15 1974,29440.79,193612.45
Wed May 15 1974,29587.78,192176.89
Sat Jun 15 1974,29755.77,191690.31
Mon Jul 15 1974,29902.77,191077.49
Thu Aug 15 1974,30175.76,190508.02
Sun Sep 15 1974,30469.74,190083
Tue Oct 15 1974,30721.73,189779.73
Fri Nov 15 1974,30952.72,189721.54
Sun Dec 15 1974,31435.7,191196.89
Wed Jan 15 1975,32033.5,194084.89
Sat Feb 15 1975,32086.75,192926.32
Sat Mar 15 1975,32169.16,192687.77
Tue Apr 15 1975,32222.41,192277.03
Thu May 15 1975,32318.77,191764.52
Sun Jun 15 1975,32298.49,190214
Tue Jul 15 1975,32472.18,189119.89
Fri Aug 15 1975,32664.89,189891.89
Mon Sep 15 1975,32994.54,190754.37
Wed Oct 15 1975,33239.23,191118.91
Sat Nov 15 1975,33475.05,191082.61
Mon Dec 15 1975,33570.14,190934.86
Thu Jan 15 1976,33693.12,191289.66
Sun Feb 15 1976,33757.78,190969.82
Mon Mar 15 1976,34054.46,192303.53
Thu Apr 15 1976,34395.51,193536.97
Sat May 15 1976,34801.22,194433.49
Tue Jun 15 1976,34908.99,194005.48
Thu Jul 15 1976,35196.79,194577.22
Sun Aug 15 1976,35426.27,194822.27
Wed Sep 15 1976,35681.11,195542.39
Fri Oct 15 1976,35797.75,195165.13
Mon Nov 15 1976,36005.68,195960.29
Wed Dec 15 1976,36304.89,196909.74
Sat Jan 15 1977,36606.64,197528.18
Tue Feb 15 1977,37036.44,197818.46
Tue Mar 15 1977,37566.4,199300.17
Fri Apr 15 1977,38234.56,201154.57
Sun May 15 1977,38707.47,202629.43
Wed Jun 15 1977,39000.34,202817.19
Fri Jul 15 1977,39402.25,203899.54
Mon Aug 15 1977,39801.62,205293.11
Thu Sep 15 1977,40322.71,207303.39
Sat Oct 15 1977,40829.85,209229.12
Tue Nov 15 1977,41252.04,210368.08
Thu Dec 15 1977,41624.79,211585.31
Sun Jan 15 1978,42044.45,212350.71
Wed Feb 15 1978,42516.09,213367.23
Wed Mar 15 1978,43108.18,214632.5
Sat Apr 15 1978,43673.64,215746.41
Mon May 15 1978,44273.33,216674.36
Thu Jun 15 1978,44940.22,217576.83
Sat Jul 15 1978,45572.88,218960.69
Tue Aug 15 1978,46173.84,220839.68
Fri Sep 15 1978,46658.16,221478.22
Sun Oct 15 1978,47110.78,221627.08
Wed Nov 15 1978,47605.24,222956.39
Fri Dec 15 1978,48169.44,224599.09
Mon Jan 15 1979,48813.5,225602.7
Thu Feb 15 1979,49427.14,225794.05
Thu Mar 15 1979,50082.62,226493.99
Sun Apr 15 1979,50733.03,226835.57
Tue May 15 1979,51391.04,226885.33
Fri Jun 15 1979,52041.45,227214.55
Sun Jul 15 1979,52624.66,227246.38
Wed Aug 15 1979,53154.62,227357.72
Sat Sep 15 1979,53604.71,226824.09
Mon Oct 15 1979,54080.15,227010.06
Thu Nov 15 1979,54468.12,226529.97
Sat Dec 15 1979,54796.49,225518.63
Tue Jan 15 1980,55074.15,223456.64
Fri Feb 15 1980,55392.38,221614.45
Sat Mar 15 1980,55865.29,220158.06
Tue Apr 15 1980,56388.91,219752.46
Thu May 15 1980,56788.28,219144.45
Sun Jun 15 1980,57133.14,218075.88
Tue Jul 15 1980,57529.97,219590.57
Fri Aug 15 1980,57865.95,219282.08
Mon Sep 15 1980,58147.42,218512.47
Wed Oct 15 1980,58387.04,217343
Sat Nov 15 1980,58621.59,216429.54
Mon Dec 15 1980,58853.61,215271.91
Thu Jan 15 1981,59034.91,214197.65
Sun Feb 15 1981,59272,212855.93
Sun Mar 15 1981,59625.73,212674.54
Wed Apr 15 1981,60156.96,213124.43
Fri May 15 1981,60575.35,212933.82
Mon Jun 15 1981,60967.12,212418.6
Wed Jul 15 1981,61280.27,211178.77
Sat Aug 15 1981,61594.7,210652.54
Tue Sep 15 1981,61711.34,209013.4
Thu Oct 15 1981,61795.02,208848.64
Sun Nov 15 1981,61798.83,208192.81
Tue Dec 15 1981,61848.27,207694.39
Fri Jan 15 1982,61890.11,207173.7
Mon Feb 15 1982,61990.27,206850.92
Mon Mar 15 1982,61956.04,206955.46
Thu Apr 15 1982,62037.18,206353.05
Sat May 15 1982,62118.32,204681.81
Tue Jun 15 1982,62113.25,202133.16
Thu Jul 15 1982,62096.77,201043.23
Sun Aug 15 1982,62068.88,200541.57
Wed Sep 15 1982,62090.43,200201.36
Fri Oct 15 1982,62091.7,199593.83
Mon Nov 15 1982,62095.5,200013.41
Wed Dec 15 1982,62200.73,201173.48
Sat Jan 15 1983,62408.66,201433.2
Tue Feb 15 1983,62733.23,202273.98
Tue Mar 15 1983,62993.14,203112.02
Fri Apr 15 1983,63317.71,202709.14
Sun May 15 1983,63635.94,202495.72
Wed Jun 15 1983,63947.83,202874.65
Fri Jul 15 1983,64312.97,203216.11
Mon Aug 15 1983,64598.24,203506.38
Thu Sep 15 1983,64770.67,203036.43
Sat Oct 15 1983,64892.38,202813.74
Tue Nov 15 1983,64981.13,202689.76
Thu Dec 15 1983,65151.02,203019.07
Sun Jan 15 1984,65341.2,202412.8
Wed Feb 15 1984,65551.66,202073.23
Thu Mar 15 1984,65850.88,202599.92
Sun Apr 15 1984,66219.82,202746.98
Tue May 15 1984,66636.94,203432.14
Fri Jun 15 1984,67021.1,204013
Sun Jul 15 1984,67391.31,204351.69
Wed Aug 15 1984,67714.61,204546.07
Sat Sep 15 1984,67914.94,204174.3
Mon Oct 15 1984,68040.45,203968.86
Thu Nov 15 1984,68050.6,203999.28
Sat Dec 15 1984,68197.67,204440.16
Tue Jan 15 1985,68432.22,204754.39
Fri Feb 15 1985,68742.84,204713.58
Fri Mar 15 1985,69134.61,205106.27
Mon Apr 15 1985,69604.98,205535.89
Wed May 15 1985,70137.48,206336.23
Sat Jun 15 1985,70642.08,207241.28
Mon Jul 15 1985,71147.95,208338.09
Thu Aug 15 1985,71638.61,209386.39
Sun Sep 15 1985,72102.64,210158.89
Tue Oct 15 1985,72510.89,210571.09
Fri Nov 15 1985,72907.73,211140.79
Sun Dec 15 1985,73295.69,211681.71
Wed Jan 15 1986,73735.64,212369.41
Sat Feb 15 1986,74171.78,214211.9
Sat Mar 15 1986,74730.9,216818.52
Tue Apr 15 1986,75419.34,219218.88
Thu May 15 1986,76136.94,220695.05
Sun Jun 15 1986,76893.85,221667.76
Tue Jul 15 1986,77657.1,223868.04
Fri Aug 15 1986,78330.33,225397.13
Mon Sep 15 1986,78912.27,226041.4
Wed Oct 15 1986,79354.75,227102.79
Sat Nov 15 1986,79751.59,228031.76
Mon Dec 15 1986,80338.6,229502.3
Thu Jan 15 1987,80829.26,229450.43
Sun Feb 15 1987,81336.4,230062.49
Sun Mar 15 1987,81762.4,230235.92
Wed Apr 15 1987,82402.66,230803.49
Fri May 15 1987,83131.67,232021.89
Mon Jun 15 1987,83979.87,233563.19
Wed Jul 15 1987,84694.93,234930.93
Sat Aug 15 1987,85303.5,235378.01
Tue Sep 15 1987,85753.59,235385.4
Thu Oct 15 1987,86107.32,235741.38
Sun Nov 15 1987,86349.48,236199.5
Tue Dec 15 1987,86667.71,237069.98
Fri Jan 15 1988,86968.19,237275.08
Mon Feb 15 1988,87390.38,237810.32
Tue Mar 15 1988,87906.4,238187.86
Fri Apr 15 1988,88493.41,238549.82
Sun May 15 1988,89278.21,239846.1
Wed Jun 15 1988,90113.73,241064.92
Fri Jul 15 1988,90897.26,242134.96
Mon Aug 15 1988,91531.18,242799.15
Thu Sep 15 1988,92024.38,242477.33
Sat Oct 15 1988,92338.8,242496.13
Tue Nov 15 1988,92646.89,243102.97
Thu Dec 15 1988,92915.67,243403.59
Sun Jan 15 1989,93342.94,243311.36
Wed Feb 15 1989,93786.69,243462.84
Wed Mar 15 1989,94347.08,243515.75
